Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
105,Seth Curry\curryse01,SG,28,POR,24,397,5.3,.509,.495,.049,2.2,6.4,4.4,6.0,0.6,0.4,14.6,13.1,,-0.1,0.1,0.0,.002,,-2.5,-1.7,-4.2,-0.2
106,Stephen Curry\curryst01,PG,30,GSW,20,674,27.2,.673,.552,.249,1.5,14.9,8.5,26.8,1.8,0.8,12.5,31.3,,2.6,0.7,3.3,.233,,9.0,-1.7,7.3,1.6
107,Troy Daniels\danietr01,SG,27,PHO,14,211,10.4,.578,.776,.105,2.1,8.0,5.0,5.7,2.1,0.4,13.1,19.0,,0.0,0.1,0.1,.023,,-0.4,-2.8,-3.2,-0.1
108,Anthony Davis\davisan02,C,25,NOP,27,1000,29.7,.589,.131,.429,9.7,25.0,17.5,20.2,2.2,6.1,8.7,28.9,,3.7,1.6,5.2,.251,,4.9,4.1,9.0,2.8
109,Ed Davis\davised01,C,29,BRK,32,565,18.4,.612,.016,.402,19.1,32.1,25.4,6.2,1.1,1.5,12.8,13.0,,1.5,0.7,2.2,.186,,0.1,0.6,0.7,0.4
110,Tyler Davis\davisty01,C,21,OKC,1,1,0.0,.000,.000,.000,100.0,0.0,52.0,0.0,0.0,0.0,0.0,40.7,,0.0,0.0,0.0,-0.459,,-14.7,-19.9,-34.6,0.0
111,Dewayne Dedmon\dedmode01,C,29,ATL,24,563,13.9,.555,.341,.202,6.2,27.5,16.5,6.7,2.3,4.0,13.7,15.8,,0.2,0.7,0.9,.081,,-2.9,2.0,-0.9,0.2
112,Sam Dekker\dekkesa01,PF-SF,24,TOT,14,236,15.8,.541,.237,.158,6.3,15.4,10.7,9.6,3.7,0.4,10.0,16.6,,0.2,0.2,0.4,.090,,-0.4,0.4,0.0,0.1
112,Sam Dekker\dekkesa01,PF,24,CLE,9,169,14.4,.544,.271,.208,5.7,16.2,10.7,7.8,3.3,0.0,8.7,14.9,,0.2,0.1,0.3,.092,,-0.4,0.1,-0.3,0.1
112,Sam Dekker\dekkesa01,SF,24,WAS,5,67,19.5,.537,.179,.071,8.0,13.3,10.6,14.2,4.9,1.3,12.2,20.8,,0.0,0.1,0.1,.083,,-0.4,1.3,0.9,0.0
113,Matthew Dellavedova\dellama01,PG,28,TOT,17,198,16.0,.654,.571,.179,0.0,11.8,5.9,36.8,1.2,0.0,23.9,17.3,,0.5,0.1,0.6,.141,,0.8,-3.5,-2.7,0.0
113,Matthew Dellavedova\dellama01,PG,28,MIL,12,97,7.7,.482,.579,.211,0.0,10.1,5.3,35.8,1.0,0.0,34.6,13.7,,0.0,0.1,0.1,.045,,-5.1,-3.0,-8.0,-0.2
113,Matthew Dellavedova\dellama01,PG,28,CLE,5,101,24.0,.744,.568,.162,0.0,13.5,6.5,37.7,1.5,0.0,16.8,20.6,,0.5,0.0,0.5,.234,,6.5,-3.9,2.5,0.1
114,Luol Deng\denglu01,SF,33,MIN,4,32,16.4,.419,.385,.231,19.8,20.1,19.9,4.5,4.5,2.7,12.3,21.5,,0.0,0.1,0.0,.058,,-2.0,1.0,-1.1,0.0
115,DeMar DeRozan\derozde01,SG,29,SAS,31,1088,21.4,.545,.064,.340,2.4,15.1,8.7,28.9,1.3,1.1,10.1,30.0,,2.1,0.7,2.9,.126,,2.0,-0.6,1.3,0.9
116,Marcus Derrickson\derrima01,SF,22,GSW,4,19,-5.8,.417,.500,.000,0.0,11.0,5.8,0.0,0.0,0.0,25.0,18.1,,-0.1,0.0,-0.1,-0.174,,-10.3,-5.6,-16.0,-0.1
117,Cheick Diallo\diallch01,PF,22,NOP,24,240,16.1,.604,.016,.313,10.3,28.2,19.5,4.4,2.1,4.4,18.0,15.2,,0.2,0.4,0.6,.121,,-2.9,1.7,-1.2,0.0
118,Hamidou Diallo\diallha01,SG,20,OKC,23,295,14.6,.554,.152,.343,8.3,9.7,9.0,4.9,2.4,1.4,9.7,18.5,,0.4,0.5,0.9,.142,,-1.9,0.2,-1.7,0.0
119,Gorgui Dieng\dienggo01,C,29,MIN,30,412,14.4,.547,.163,.296,5.6,26.0,15.7,8.4,1.5,4.2,14.1,18.1,,0.2,0.6,0.8,.089,,-3.4,1.9,-1.5,0.1
120,Spencer Dinwiddie\dinwisp01,PG,25,BRK,32,920,18.7,.606,.440,.399,2.0,7.6,4.7,27.8,1.0,0.9,13.0,24.2,,2.5,0.3,2.8,.147,,3.8,-2.7,1.1,0.7
121,Donte DiVincenzo\divindo01,SG,22,MIL,21,352,8.7,.492,.645,.103,4.0,12.0,8.2,9.5,1.6,1.2,13.2,15.3,,0.0,0.5,0.4,.060,,-2.0,0.4,-1.6,0.0
122,Luka Doncic\doncilu01,PF,19,DAL,28,910,16.5,.558,.423,.365,3.5,18.9,11.3,24.2,1.6,0.8,17.5,26.2,,0.6,1.1,1.7,.088,,0.9,0.5,1.4,0.8
123,Tyler Dorsey\dorsety01,SG,22,ATL,16,172,7.3,.430,.375,.328,3.6,15.9,9.6,11.7,1.1,0.0,9.8,19.2,,-0.2,0.0,-0.1,-0.041,,-5.0,-2.8,-7.9,-0.3
124,Damyean Dotson\dotsoda01,SG,24,NYK,23,608,13.1,.554,.427,.105,3.2,13.8,8.3,6.0,1.7,0.6,7.3,17.1,,0.6,0.2,0.9,.067,,0.2,-1.6,-1.4,0.1
125,PJ Dozier\doziepj01,PG,22,BOS,2,8,31.6,.583,.333,.000,26.2,26.8,26.5,0.0,0.0,0.0,0.0,32.2,,0.0,0.0,0.0,.266,,2.7,-12.5,-9.8,0.0
126,Goran Dragic\dragigo01,PG,32,MIA,14,408,13.4,.510,.372,.266,2.0,9.0,5.5,27.2,1.2,0.8,14.3,25.1,,0.1,0.3,0.4,.050,,-0.4,-2.2,-2.6,-0.1
127,Andre Drummond\drumman01,C,25,DET,28,925,22.2,.518,.048,.363,17.6,33.0,24.9,6.2,2.0,4.9,12.0,24.9,,0.8,1.9,2.7,.141,,-1.7,2.9,1.2,0.7
128,Jared Dudley\dudleja01,PF,33,BRK,32,679,7.8,.536,.617,.177,3.6,10.5,6.9,9.0,1.4,0.9,14.1,11.1,,0.3,0.4,0.7,.051,,-1.2,0.2,-1.0,0.2
129,Kris Dunn\dunnkr01,PG,24,CHI,5,138,11.4,.556,.180,.140,0.8,14.9,7.8,30.1,1.4,0.0,22.0,21.7,,-0.1,0.1,0.0,.012,,-3.1,-1.7,-4.8,-0.1
130,Kevin Durant\duranke01,PF,30,GSW,31,1104,26.4,.627,.243,.388,1.6,20.7,11.6,28.6,1.2,2.4,13.1,32.0,,3.8,1.3,5.1,.220,,5.0,0.5,5.4,2.1
131,Vince Edwards\edwarvi01,SF,22,HOU,1,4,33.1,.750,1.000,.000,27.9,0.0,14.5,0.0,0.0,0.0,0.0,22.0,,0.0,0.0,0.0,.314,,13.6,-11.8,1.8,0.0
132,Henry Ellenson\ellenhe01,PF,22,DET,2,25,14.9,.551,.400,.200,0.0,40.2,19.1,6.1,0.0,0.0,0.0,18.1,,0.0,0.0,0.1,.154,,-3.3,-2.4,-5.7,0.0
133,Wayne Ellington\ellinwa01,SG,31,MIA,18,444,10.6,.533,.832,.087,1.4,8.5,4.9,8.9,2.3,0.6,7.8,15.8,,0.3,0.5,0.8,.083,,0.6,-0.8,-0.2,0.2
134,Joel Embiid\embiijo01,C,24,PHI,31,1055,24.7,.579,.222,.538,7.8,33.4,20.9,18.2,0.7,4.1,12.7,32.4,,2.2,1.7,4.0,.180,,1.4,1.6,3.0,1.3
135,James Ennis\ennisja01,SF,28,HOU,23,579,11.1,.614,.584,.226,4.2,8.5,6.3,3.6,1.8,1.5,8.5,12.5,,0.8,0.3,1.1,.092,,0.3,-0.9,-0.6,0.2
136,Drew Eubanks\eubandr01,PF,21,SAS,5,20,23.6,.788,.000,.250,5.4,5.6,5.5,8.9,0.0,0.0,18.4,23.8,,0.1,0.0,0.1,.149,,2.0,-5.1,-3.1,0.0
137,Jacob Evans\evansja02,SG,21,GSW,19,85,-1.3,.220,.250,.050,1.4,7.4,4.5,15.4,0.6,1.0,16.4,12.4,,-0.2,0.0,-0.2,-0.108,,-8.5,-2.1,-10.5,-0.2
138,Jawun Evans\evansja01,PG,22,PHO,4,46,1.1,.200,.200,.000,2.4,21.9,12.1,22.8,2.1,0.0,28.6,13.3,,-0.2,0.0,-0.1,-0.133,,-10.0,0.8,-9.2,-0.1
139,Tyreke Evans\evansty01,SG,29,IND,29,628,11.1,.469,.362,.241,3.1,11.9,7.7,16.1,3.0,1.3,15.5,26.5,,-1.0,1.2,0.1,.010,,-3.5,0.8,-2.7,-0.1
140,Dante Exum\exumda01,PG,23,UTA,30,477,9.6,.506,.287,.451,2.1,8.9,5.5,19.2,1.1,0.7,16.2,21.3,,-0.1,0.4,0.3,.029,,-3.4,-1.4,-4.8,-0.3
141,Kenneth Faried\farieke01,PF,29,BRK,9,50,21.6,.732,.000,.500,14.8,22.3,18.4,3.3,1.0,1.6,19.0,18.0,,0.1,0.0,0.2,.149,,-0.4,-2.0,-2.4,0.0
142,Derrick Favors\favorde01,C,27,UTA,30,687,21.3,.637,.123,.418,14.2,19.9,17.1,6.7,1.8,4.4,12.7,18.9,,1.6,1.1,2.8,.194,,1.4,2.6,3.9,1.0
143,Cristiano Felicio\feliccr01,C,26,CHI,21,249,11.8,.600,.020,.380,9.5,23.0,16.2,6.6,0.6,0.7,18.2,12.6,,0.2,0.2,0.4,.080,,-3.8,-0.7,-4.4,-0.2
144,Raymond Felton\feltora01,PG,34,OKC,13,143,11.0,.420,.394,.127,2.1,12.6,7.3,23.1,2.0,2.3,11.8,24.2,,-0.2,0.2,0.1,.028,,-4.1,0.1,-4.1,-0.1
145,Terrance Ferguson\fergute01,SG,20,OKC,23,488,4.3,.493,.630,.130,2.5,6.5,4.5,4.4,1.2,0.7,13.4,9.4,,0.0,0.6,0.6,.054,,-3.4,0.5,-2.9,-0.1
146,Yogi Ferrell\ferreyo01,SG,25,SAC,20,263,13.7,.568,.435,.250,0.8,10.9,5.8,13.9,1.4,0.6,8.9,17.7,,0.4,0.1,0.5,.093,,0.1,-2.2,-2.1,0.0
147,Dorian Finney-Smith\finnedo01,SF,25,DAL,29,766,11.7,.579,.518,.236,7.3,10.9,9.2,4.1,2.1,1.8,11.4,13.2,,0.8,0.9,1.7,.106,,0.3,1.1,1.4,0.7
148,Bryn Forbes\forbebr01,PG,25,SAS,31,829,11.5,.565,.490,.102,0.9,8.7,4.8,11.9,1.1,0.1,10.2,18.7,,0.7,0.3,1.0,.056,,0.8,-2.5,-1.7,0.1
149,Evan Fournier\fournev01,SG,26,ORL,28,853,12.3,.514,.451,.155,1.4,9.7,5.5,19.3,1.6,0.7,11.7,24.3,,-0.2,0.7,0.5,.029,,-0.5,-1.4,-1.9,0.0
150,De'Aaron Fox\foxde01,PG,21,SAC,30,947,18.8,.570,.234,.412,1.7,10.1,5.8,32.2,2.2,1.4,16.7,24.7,,1.5,0.7,2.2,.112,,1.8,-0.8,1.0,0.7
151,Melvin Frazier\frazime01,SG,22,ORL,3,16,-9.7,.000,.333,.000,0.0,6.9,3.4,0.0,3.1,0.0,25.0,11.0,,-0.1,0.0,-0.1,-0.241,,-14.0,0.5,-13.5,0.0
152,Tim Frazier\fraziti01,PG,28,NOP,22,437,11.2,.558,.470,.181,3.7,10.1,7.0,28.7,1.4,0.2,25.1,11.2,,0.5,0.2,0.7,.079,,-0.4,-1.7,-2.1,0.0
153,Channing Frye\fryech01,C,35,CLE,12,93,10.7,.646,.720,.120,1.1,24.5,12.4,4.6,1.1,0.9,16.0,14.7,,0.1,0.0,0.1,.068,,-1.7,-2.2,-3.9,0.0
154,Markelle Fultz\fultzma01,SG,20,PHI,19,427,10.7,.452,.090,.239,6.7,10.7,8.8,20.1,1.9,0.9,12.7,19.4,,-0.1,0.4,0.3,.036,,-2.8,-0.1,-2.9,-0.1
155,Danilo Gallinari\gallida01,SF,30,LAC,29,916,19.5,.617,.410,.456,3.4,16.3,10.1,10.8,1.0,0.7,7.8,22.6,,2.7,0.6,3.3,.174,,3.9,-1.4,2.5,1.0
156,Langston Galloway\gallola01,SG,27,DET,27,683,10.0,.535,.647,.174,2.5,8.8,5.5,7.4,0.9,0.4,5.2,15.1,,0.7,0.5,1.3,.088,,0.2,-0.9,-0.6,0.2
157,Marc Gasol\gasolma01,C,34,MEM,30,1032,18.6,.554,.328,.318,3.6,25.6,14.4,19.8,2.1,3.9,12.0,22.4,,1.0,1.9,2.9,.135,,0.4,3.7,4.1,1.6
158,Pau Gasol\gasolpa01,C,38,SAS,9,157,21.3,.599,.163,.419,7.6,31.1,19.2,26.5,0.3,4.8,12.1,16.2,,0.5,0.2,0.7,.204,,1.5,2.7,4.3,0.2
159,Rudy Gay\gayru01,SF,32,SAS,27,736,19.2,.616,.249,.190,4.6,22.9,13.6,12.7,1.6,2.0,12.1,21.2,,1.3,0.8,2.1,.140,,1.6,0.6,2.2,0.8
160,Paul George\georgpa01,SF,28,OKC,29,1012,22.9,.574,.454,.284,4.0,19.5,11.6,19.7,2.9,1.7,11.3,28.5,,2.2,2.2,4.4,.209,,4.0,2.0,6.0,2.1
161,Taj Gibson\gibsota01,PF,33,MIN,29,737,17.3,.572,.106,.298,12.2,16.9,14.5,8.0,1.8,1.9,9.5,16.8,,1.5,0.7,2.1,.139,,0.9,1.0,1.9,0.7
162,Harry Giles\gilesha01,PF,20,SAC,21,211,14.0,.487,.019,.243,9.7,18.6,14.1,17.3,2.8,1.6,16.2,26.7,,-0.2,0.3,0.1,.020,,-3.2,0.7,-2.5,0.0
163,Shai Gilgeous-Alexander\gilgesh01,PG,20,LAC,30,825,13.5,.566,.190,.312,3.6,8.4,6.1,15.3,1.7,1.8,16.3,17.7,,0.6,0.6,1.2,.069,,-0.2,0.4,0.2,0.5
164,Rudy Gobert\goberru01,C,26,UTA,31,957,24.2,.676,.000,.678,13.2,31.5,22.3,10.4,1.5,5.3,11.7,17.0,,3.1,1.9,5.0,.250,,2.1,4.8,6.8,2.2
165,Brandon Goodwin\goodwbr01,G,23,DEN,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-5.8,0.4,-5.4,0.0
166,Aaron Gordon\gordoaa01,PF,23,ORL,27,880,15.8,.542,.336,.194,5.8,18.5,12.1,14.3,1.4,2.0,11.5,22.2,,0.5,1.0,1.5,.084,,0.0,1.0,1.0,0.7
167,Eric Gordon\gordoer01,SG,30,HOU,26,854,9.2,.486,.578,.186,1.2,7.1,4.0,8.5,0.8,1.1,8.3,22.5,,-0.2,0.1,-0.1,-0.007,,-2.1,-3.7,-5.7,-0.8
168,Marcin Gortat\gortama01,C,34,LAC,24,422,12.3,.561,.000,.323,7.9,25.2,16.9,12.8,0.2,2.5,19.2,13.7,,0.4,0.4,0.7,.085,,-2.2,1.5,-0.7,0.1
169,Devonte' Graham\grahade01,PG,23,CHO,12,107,8.6,.464,.545,.030,0.0,9.1,4.5,24.2,1.3,0.0,15.2,15.7,,0.0,0.1,0.0,.012,,-2.8,-3.4,-6.1,-0.1
170,Treveon Graham\grahatr01,SG,25,BRK,2,27,-5.2,.000,.667,.000,3.9,12.4,8.0,4.5,1.8,0.0,40.0,7.9,,-0.1,0.0,-0.1,-0.149,,-9.5,1.3,-8.2,0.0
171,Jerami Grant\grantje01,PF,24,OKC,29,877,13.5,.601,.357,.333,3.1,12.9,7.9,4.9,1.1,3.3,8.6,14.5,,1.3,1.4,2.7,.148,,-1.0,1.7,0.6,0.6
172,Jerian Grant\grantje02,PG,26,ORL,29,562,9.1,.476,.492,.153,2.1,9.1,5.5,23.3,2.7,0.5,21.7,12.7,,-0.1,0.6,0.5,.044,,-3.0,0.4,-2.6,-0.1
173,Danny Green\greenda02,SG,31,TOR,32,956,11.6,.602,.684,.043,3.8,11.2,7.7,5.8,1.4,2.2,10.9,13.2,,1.0,1.1,2.2,.109,,1.4,1.6,3.1,1.2
174,Draymond Green\greendr01,PF,28,GSW,17,515,11.6,.475,.333,.210,2.9,24.5,14.2,29.4,2.7,2.3,32.8,14.3,,-0.3,0.9,0.6,.055,,-3.0,3.6,0.7,0.3
175,Gerald Green\greenge01,SG,33,HOU,25,432,10.8,.554,.759,.076,3.6,12.8,8.0,4.0,0.9,0.8,8.4,18.2,,0.3,0.1,0.5,.050,,-0.5,-3.8,-4.3,-0.2
176,JaMychal Green\greenja01,PF,28,MEM,18,420,16.6,.576,.255,.229,10.2,23.0,16.5,5.2,2.3,2.7,15.1,21.8,,0.2,0.7,0.9,.107,,-1.9,0.7,-1.2,0.1
177,Jeff Green\greenje02,PF,32,WAS,29,740,14.5,.626,.419,.256,5.1,15.8,10.3,6.9,1.1,1.7,12.2,16.5,,1.1,0.3,1.4,.091,,0.2,-1.2,-1.0,0.2
178,Blake Griffin\griffbl01,PF,29,DET,27,962,21.1,.581,.341,.463,3.9,24.3,13.6,25.5,0.9,1.2,15.2,30.1,,1.6,1.2,2.8,.140,,3.6,1.2,4.7,1.6
179,Daniel Hamilton\hamilda02,SG,23,ATL,5,40,3.6,.414,.500,.200,0.0,11.0,5.3,13.3,1.1,0.0,15.5,13.1,,-0.1,0.0,0.0,-0.053,,-6.2,-2.7,-8.9,-0.1
180,Tim Hardaway\hardati02,SG,26,NYK,30,1006,15.6,.536,.462,.304,1.6,8.6,4.9,13.8,1.4,0.4,9.3,27.1,,1.1,0.2,1.3,.062,,2.0,-3.6,-1.6,0.1
181,James Harden\hardeja01,SG,29,HOU,26,944,28.0,.624,.530,.489,1.8,17.4,9.3,42.5,3.0,1.2,18.2,37.4,,3.1,0.9,4.1,.206,,9.2,0.3,9.5,2.7
182,Maurice Harkless\harklma01,SF,25,POR,17,335,9.8,.533,.392,.076,2.9,15.5,9.4,5.6,1.7,3.6,11.9,11.7,,0.1,0.4,0.5,.072,,-2.0,2.2,0.2,0.2
183,Montrezl Harrell\harremo01,C,25,LAC,30,760,24.6,.644,.007,.650,10.4,17.2,13.9,10.5,1.6,4.5,10.2,22.0,,2.5,0.9,3.4,.215,,3.2,1.9,5.1,1.3
184,Devin Harris\harride01,PG,35,DAL,19,295,13.7,.548,.615,.427,0.8,10.9,5.9,13.4,3.1,1.4,10.9,18.5,,0.3,0.4,0.7,.114,,0.0,0.3,0.3,0.2
185,Gary Harris\harriga01,SG,24,DEN,21,678,15.0,.534,.374,.226,2.4,8.5,5.4,13.2,1.8,1.2,7.4,22.3,,0.8,0.8,1.6,.115,,0.9,-0.8,0.0,0.3
186,Joe Harris\harrijo01,SG,27,BRK,29,863,14.2,.639,.523,.178,2.6,10.3,6.3,12.4,1.0,0.5,11.1,16.9,,1.8,0.4,2.1,.119,,2.3,-1.3,1.0,0.7
187,Tobias Harris\harrito02,PF,26,LAC,30,1041,19.0,.610,.300,.229,2.2,22.2,12.6,10.2,0.8,0.9,10.2,24.1,,1.9,0.9,2.8,.129,,1.9,-1.0,1.0,0.8
188,Andrew Harrison\harrian01,SG-PG,24,TOT,15,177,7.3,.466,.440,.360,3.0,8.2,5.6,17.4,1.1,1.0,14.7,16.7,,0.0,0.0,0.0,.007,,-2.7,-2.5,-5.2,-0.1
188,Andrew Harrison\harrian01,PG,24,MEM,1,5,5.0,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,,0.0,0.0,0.0,-0.010,,-3.8,-6.0,-9.8,0.0
188,Andrew Harrison\harrian01,SG,24,CLE,10,144,6.9,.467,.359,.410,3.0,8.7,5.7,16.2,1.4,1.2,17.8,17.0,,-0.1,0.0,0.0,-0.011,,-3.5,-1.9,-5.3,-0.1
188,Andrew Harrison\harrian01,SG,24,NOP,4,28,9.7,.455,.778,.222,3.8,7.3,5.6,26.9,0.0,0.0,0.0,14.5,,0.1,0.0,0.1,.101,,1.5,-5.2,-3.7,0.0
189,Shaquille Harrison\harrish01,PG,25,CHI,22,355,12.9,.468,.265,.389,1.8,15.5,8.6,15.4,4.5,1.4,12.0,18.6,,-0.3,0.6,0.3,.037,,-3.4,2.3,-1.1,0.1
190,Josh Hart\hartjo01,SG,23,LAL,31,790,11.0,.557,.609,.183,2.3,10.6,6.6,5.7,1.9,2.0,9.1,14.4,,0.5,0.9,1.4,.083,,-0.5,0.5,0.0,0.4
191,Isaiah Hartenstein\harteis01,PF,20,HOU,21,172,9.6,.575,.152,.424,10.4,11.9,11.1,8.3,1.2,4.5,23.5,13.1,,0.1,0.1,0.2,.065,,-3.0,0.9,-2.1,0.0
192,Udonis Haslem\hasleud01,C,38,MIA,3,14,-4.4,.333,.333,.000,7.3,30.1,18.5,0.0,0.0,0.0,25.0,23.9,,-0.1,0.0,-0.1,-0.235,,-15.8,-7.6,-23.4,-0.1
193,Gordon Hayward\haywago01,SF,28,BOS,25,659,15.4,.535,.407,.238,4.0,17.1,10.5,19.3,2.1,0.8,12.4,19.0,,0.8,1.2,1.9,.141,,0.2,1.7,1.8,0.6
194,John Henson\hensojo01,C,28,MIL,14,188,17.5,.553,.463,.149,9.2,28.6,19.4,10.2,1.7,5.0,14.4,18.6,,0.2,0.4,0.6,.148,,-1.4,3.2,1.9,0.2
195,Juan Hernangomez\hernaju01,PF,23,DEN,29,799,14.0,.631,.562,.299,6.5,15.6,11.1,4.9,0.9,1.7,9.2,13.4,,1.6,1.0,2.5,.152,,1.5,0.1,1.6,0.7
196,Willy Hernangomez\hernawi01,C,24,CHO,21,267,23.3,.654,.214,.459,14.4,23.4,18.9,9.2,1.4,2.9,13.3,21.7,,0.9,0.3,1.2,.217,,2.7,-0.3,2.4,0.3
197,Mario Hezonja\hezonma01,SF,23,NYK,30,544,8.2,.453,.361,.159,1.9,17.7,9.4,8.3,1.9,0.5,12.3,21.4,,-0.8,0.3,-0.5,-0.044,,-4.3,-1.9,-6.2,-0.6
198,Buddy Hield\hieldbu01,SG,25,SAC,30,919,17.0,.596,.440,.124,3.8,13.4,8.5,11.9,0.7,1.1,11.0,24.7,,1.3,0.4,1.7,.091,,2.6,-2.3,0.3,0.5
199,Nene Hilario\hilarne01,C,36,HOU,8,114,15.0,.584,.063,.219,8.8,19.1,13.7,9.6,1.3,2.3,7.9,14.7,,0.3,0.1,0.3,.144,,-1.2,-0.3,-1.5,0.0
200,George Hill\hillge01,PG,32,TOT,17,417,11.7,.547,.286,.183,3.6,6.0,4.8,14.7,1.8,0.4,13.9,16.5,,0.3,0.1,0.4,.051,,-0.6,-1.7,-2.4,0.0
200,George Hill\hillge01,PG,32,CLE,13,344,13.9,.604,.262,.187,3.7,5.0,4.3,16.0,1.7,0.2,14.7,17.3,,0.5,0.0,0.6,.077,,0.8,-2.3,-1.5,0.0
200,George Hill\hillge01,PG,32,MIL,4,73,1.2,.221,.421,.158,3.0,10.7,7.0,8.1,1.9,1.2,9.0,12.8,,-0.2,0.1,-0.1,-0.073,,-7.6,1.1,-6.5,-0.1
201,Solomon Hill\hillso01,SF,27,NOP,19,416,7.5,.518,.554,.189,4.7,11.8,8.3,7.2,1.3,1.0,15.8,9.4,,0.1,0.2,0.3,.039,,-1.3,0.2,-1.2,0.1
202,Aaron Holiday\holidaa01,PG,22,IND,18,229,13.6,.508,.510,.194,1.0,16.4,8.9,16.2,2.1,2.3,10.9,22.8,,0.0,0.4,0.4,.087,,-1.5,0.6,-0.9,0.1
203,Jrue Holiday\holidjr01,SG,28,NOP,31,1139,18.6,.553,.298,.257,3.3,8.7,6.1,34.3,2.3,1.6,16.9,24.9,,1.6,0.8,2.4,.102,,2.5,-0.6,2.0,1.1
204,Justin Holiday\holidju01,SG,29,CHI,31,1086,12.2,.555,.709,.103,1.5,12.3,6.9,10.3,2.4,1.3,9.4,15.4,,0.5,1.0,1.5,.065,,0.6,0.7,1.3,0.9
205,John Holland\hollajo02,SF,30,CLE,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.028,,-6.0,-0.6,-6.6,0.0
206,Rondae Hollis-Jefferson\holliro01,SF,24,BRK,28,687,13.3,.477,.104,.402,5.9,20.7,13.1,11.3,1.8,1.3,10.0,21.1,,0.1,0.7,0.7,.052,,-3.4,0.6,-2.8,-0.1
207,Richaun Holmes\holmeri01,C,25,PHO,30,454,21.4,.681,.000,.409,12.0,21.2,16.6,6.2,1.8,6.4,15.2,18.4,,1.0,0.6,1.6,.172,,-0.3,2.3,2.0,0.5
208,Rodney Hood\hoodro01,SG,26,CLE,30,847,13.8,.551,.325,.241,1.5,8.7,5.0,11.6,1.4,0.3,6.8,19.8,,1.3,0.1,1.4,.078,,0.8,-2.5,-1.7,0.1
209,Al Horford\horfoal01,C,32,BOS,22,660,17.2,.566,.360,.132,5.4,17.2,11.3,16.4,1.2,5.2,12.0,17.9,,0.9,1.3,2.2,.157,,0.4,3.8,4.1,1.0
210,Danuel House\houseda01,SF,25,HOU,11,224,11.0,.568,.627,.441,5.0,12.4,8.5,4.6,0.9,0.8,9.0,15.2,,0.3,0.1,0.4,.077,,-0.7,-2.8,-3.5,-0.1
211,Dwight Howard\howardw01,C,33,WAS,9,230,17.8,.638,.000,.696,11.2,28.6,19.7,2.6,1.4,1.5,15.1,19.6,,0.4,0.2,0.6,.124,,-2.7,-2.4,-5.0,-0.2
212,Kevin Huerter\huertke01,SG,20,ATL,29,669,9.9,.563,.574,.125,3.4,11.1,7.2,13.2,1.5,1.4,17.0,13.6,,0.2,0.2,0.5,.035,,-1.4,-0.6,-2.0,0.0
213,Chandler Hutchison\hutchch01,SF,22,CHI,26,450,7.7,.478,.260,.270,3.8,19.2,11.5,5.8,1.5,0.8,13.2,12.6,,-0.3,0.4,0.1,.012,,-5.1,0.1,-5.0,-0.3
214,Serge Ibaka\ibakase01,C,29,TOR,31,864,20.8,.613,.206,.209,8.4,19.8,14.4,7.3,0.9,3.9,11.3,23.9,,1.8,1.3,3.1,.173,,1.1,1.0,2.1,0.9
215,Andre Iguodala\iguodan01,SF,35,GSW,26,601,11.3,.572,.437,.252,3.6,11.6,7.8,15.7,1.7,2.3,17.9,10.0,,0.6,0.6,1.2,.098,,-0.3,1.2,0.9,0.4
216,Ersan Ilyasova\ilyaser01,PF,31,MIL,24,477,12.6,.549,.430,.215,8.6,19.1,14.1,7.7,1.3,1.1,11.4,16.2,,0.6,0.7,1.3,.130,,-0.7,0.5,-0.2,0.2
217,Joe Ingles\inglejo01,SF,31,UTA,31,967,12.6,.559,.568,.168,1.2,12.6,6.9,22.4,2.5,0.5,17.9,17.8,,0.3,1.3,1.6,.079,,0.3,1.0,1.3,0.8
218,Brandon Ingram\ingrabr01,SG,21,LAL,20,615,11.5,.522,.135,.363,2.5,10.9,6.8,9.9,1.1,1.8,13.4,22.7,,-0.2,0.5,0.3,.024,,-3.7,-0.8,-4.4,-0.4
219,Kyrie Irving\irvinky01,PG,26,BOS,27,857,24.2,.585,.372,.184,3.8,12.3,8.0,33.9,2.6,1.3,12.1,29.9,,2.2,1.5,3.8,.211,,6.0,1.2,7.2,2.0
220,Jonathan Isaac\isaacjo01,SF,21,ORL,23,549,11.8,.524,.351,.318,4.5,19.1,11.7,5.2,1.7,4.7,13.8,16.4,,-0.1,0.8,0.7,.064,,-3.8,2.5,-1.3,0.1
221,Wesley Iwundu\iwundwe01,SF,24,ORL,20,336,6.8,.479,.275,.338,2.5,10.5,6.5,8.1,0.9,1.0,10.7,13.5,,-0.1,0.2,0.2,.025,,-4.4,-0.4,-4.8,-0.2
222,Demetrius Jackson\jacksde01,PG,24,PHI,1,6,12.6,1.000,.000,.000,0.0,0.0,0.0,0.0,7.9,0.0,50.0,14.1,,0.0,0.0,0.0,-0.003,,-3.3,3.5,0.2,0.0
