Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Lonzo Ball\balllo01,PG,21,LAL,31,906,11.7,.485,.491,.097,4.2,14.3,9.4,21.7,2.5,0.9,18.6,16.3,,-0.1,1.2,1.1,.058,,-1.1,1.5,0.4,0.6
27,Mohamed Bamba\bambamo01,C,20,ORL,28,474,16.6,.554,.325,.150,8.6,21.2,14.8,10.3,0.8,7.0,11.0,17.9,,0.5,0.7,1.2,.121,,-1.4,3.1,1.7,0.4
28,J.J. Barea\bareajo01,PG,34,DAL,26,506,18.6,.510,.303,.199,2.0,11.7,6.9,47.8,1.5,0.2,13.2,28.1,,0.7,0.5,1.2,.110,,2.3,-2.1,0.2,0.3
29,Harrison Barnes\barneha02,SF,26,DAL,25,791,14.5,.553,.424,.274,2.8,11.9,7.5,5.8,1.2,0.9,8.4,24.3,,0.7,0.7,1.4,.085,,-0.3,-2.2,-2.5,-0.1
30,Will Barton\bartowi01,SG,28,DEN,2,54,22.7,.725,.429,.190,0.0,20.1,10.1,17.4,0.9,3.4,11.6,20.5,,0.2,0.1,0.3,.237,,3.4,0.2,3.5,0.1
31,Keita Bates-Diop\bateske01,SF,23,MIN,2,18,-1.1,.250,.500,.000,0.0,17.8,8.9,0.0,0.0,4.8,0.0,18.7,,-0.1,0.0,-0.1,-0.177,,-11.9,-3.9,-15.8,-0.1
32,Nicolas Batum\batumni01,SF,30,CHO,29,877,11.8,.561,.455,.125,3.8,14.9,9.3,15.6,1.4,1.3,16.9,13.9,,0.6,0.7,1.3,.073,,0.0,0.7,0.7,0.6
33,Aron Baynes\baynear01,C,32,BOS,24,354,14.9,.564,.363,.353,11.6,20.0,15.7,11.7,0.5,2.8,13.3,16.5,,0.7,0.6,1.3,.171,,-0.2,1.3,1.1,0.3
34,Kent Bazemore\bazemke01,SG,29,ATL,30,810,14.4,.551,.429,.282,2.0,13.8,7.7,15.1,2.9,3.0,15.1,21.3,,0.1,0.8,0.9,.051,,-1.0,0.9,-0.1,0.4
35,Bradley Beal\bealbr01,SG,25,WAS,31,1119,18.7,.575,.367,.268,2.6,12.0,7.2,19.7,1.4,2.1,11.0,26.9,,1.6,0.4,2.0,.086,,2.4,-1.5,0.9,0.8
36,Malik Beasley\beaslma01,SG,22,DEN,30,581,11.9,.573,.525,.059,2.1,11.2,6.6,7.4,1.2,0.5,7.5,16.7,,0.6,0.6,1.2,.102,,0.2,-1.4,-1.2,0.1
37,Michael Beasley\beaslmi01,PF,30,LAL,10,71,12.4,.555,.108,.162,4.5,15.7,10.3,6.7,1.3,0.0,15.0,27.3,,0.0,0.1,0.0,.021,,-4.9,-3.5,-8.4,-0.1
38,Marco Belinelli\belinma01,SG,32,SAS,30,660,11.6,.511,.534,.170,1.0,8.9,4.9,12.0,1.2,0.6,6.3,20.1,,0.4,0.3,0.7,.050,,0.2,-2.8,-2.6,-0.1
39,Jordan Bell\belljo01,C,24,GSW,30,377,13.0,.547,.015,.299,7.3,16.9,12.3,12.7,1.8,6.1,18.3,10.6,,0.4,0.6,0.9,.119,,-2.1,4.1,2.0,0.4
40,DeAndre' Bembry\bembrde01,SG,24,ATL,30,677,10.7,.481,.323,.265,2.3,17.8,9.8,16.9,2.6,2.6,15.7,18.0,,-0.5,0.6,0.2,.011,,-3.7,1.4,-2.3,0.0
41,Dragan Bender\bendedr01,PF,21,PHO,11,88,4.9,.475,.591,.227,6.3,12.7,9.5,7.9,0.0,0.0,19.9,15.0,,-0.1,0.0,-0.1,-0.042,,-4.7,-3.2,-7.9,-0.1
42,Davis Bertans\bertada01,PF,26,SAS,27,473,16.1,.684,.726,.178,3.0,14.3,8.6,7.9,1.2,1.9,8.2,14.7,,1.2,0.4,1.5,.155,,3.4,-1.0,2.4,0.5
43,Patrick Beverley\beverpa01,PG,30,LAC,30,741,9.6,.493,.581,.263,3.1,12.4,8.0,19.9,1.4,1.0,13.8,13.3,,0.5,0.5,1.0,.065,,0.2,0.2,0.5,0.5
44,Khem Birch\birchkh01,C,26,ORL,9,66,16.4,.615,.000,.118,9.7,21.8,15.7,4.5,3.0,2.6,14.4,14.0,,0.1,0.1,0.2,.143,,-2.8,2.1,-0.7,0.0
45,Bismack Biyombo\biyombi01,C,26,CHO,10,77,10.2,.564,.000,.750,6.9,18.2,12.5,3.4,0.6,10.1,20.0,11.1,,0.0,0.1,0.1,.077,,-5.0,4.2,-0.8,0.0
46,Nemanja Bjelica\bjeline01,PF,30,SAC,30,719,17.4,.658,.428,.165,5.7,19.4,12.5,11.1,1.7,2.6,14.5,17.1,,1.4,0.7,2.1,.142,,2.3,1.1,3.4,1.0
47,Antonio Blakeney\blakean01,SG,22,CHI,25,416,11.2,.507,.278,.182,1.0,10.6,5.8,5.5,0.8,0.8,8.5,26.0,,-0.5,0.2,-0.3,-0.037,,-4.4,-4.2,-8.6,-0.7
48,Eric Bledsoe\bledser01,PG,29,MIL,29,870,20.1,.595,.389,.228,4.2,10.3,7.4,28.5,2.2,1.5,13.5,22.1,,2.2,1.3,3.5,.191,,3.4,0.8,4.2,1.4
49,Jaron Blossomgame\blossja01,SF,25,CLE,8,120,13.6,.550,.462,.192,7.1,27.5,17.0,5.8,0.8,1.4,3.4,10.6,,0.2,0.1,0.3,.105,,-1.3,-0.8,-2.2,0.0
50,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,19,509,15.6,.548,.460,.187,1.8,11.6,6.7,19.2,1.2,0.3,8.3,22.6,,0.8,0.2,1.0,.095,,2.1,-2.5,-0.3,0.2
51,Bojan Bogdanovic\bogdabo02,SF,29,IND,31,980,15.1,.643,.387,.298,1.6,11.6,6.8,6.9,1.2,0.0,12.2,20.1,,1.5,1.2,2.8,.135,,1.2,-1.0,0.1,0.5
52,Jonah Bolden\boldejo01,PF,23,PHI,9,54,5.8,.381,.643,.286,4.1,19.3,11.9,5.0,2.6,4.3,16.0,14.7,,-0.1,0.1,0.0,-0.022,,-6.1,1.9,-4.3,0.0
53,Isaac Bonga\bongais01,PG,19,LAL,5,17,13.3,.361,.143,.429,12.7,11.9,12.3,22.6,8.2,0.0,19.4,25.2,,0.0,0.0,0.0,-0.002,,-3.9,4.7,0.7,0.0
54,Devin Booker\bookede01,SG,22,PHO,21,743,18.1,.561,.387,.286,1.3,11.0,6.2,32.8,1.6,0.2,15.1,31.7,,0.5,0.3,0.8,.053,,3.0,-2.5,0.4,0.5
55,Chris Boucher\bouchch01,PF,26,TOR,4,14,39.7,.558,.556,.667,24.4,29.3,27.0,0.0,0.0,17.2,0.0,35.9,,0.1,0.0,0.1,.383,,2.8,-3.9,-1.2,0.0
56,Avery Bradley\bradlav01,SG,28,LAC,24,713,4.2,.437,.382,.055,2.0,6.2,4.2,8.0,1.1,1.2,15.4,14.4,,-0.9,0.3,-0.7,-0.045,,-3.3,-0.2,-3.5,-0.3
57,Mikal Bridges\bridgmi01,SF,22,PHO,31,753,10.0,.531,.539,.170,2.2,9.2,5.7,7.1,2.6,1.2,9.4,14.2,,0.1,0.5,0.7,.043,,-1.4,0.1,-1.3,0.1
58,Miles Bridges\bridgmi02,SF,20,CHO,28,569,14.1,.579,.429,.183,3.4,16.9,10.1,6.7,1.5,3.3,8.7,15.6,,0.6,0.6,1.2,.103,,-0.4,0.6,0.2,0.3
59,Isaiah Briscoe\briscis01,PG,22,ORL,10,70,5.0,.448,.053,.263,0.0,9.5,4.7,18.2,0.0,0.0,12.4,15.3,,-0.1,0.0,0.0,-0.017,,-6.6,-3.0,-9.6,-0.1
60,Ryan Broekhoff\broekry01,SG,28,DAL,15,74,8.0,.490,.818,.045,3.0,15.9,9.6,5.8,0.7,1.1,8.2,14.1,,0.0,0.1,0.1,.043,,-2.6,-1.7,-4.3,0.0
61,Malcolm Brogdon\brogdma01,SG,26,MIL,27,810,16.6,.626,.339,.145,3.3,11.4,7.6,15.9,0.9,0.5,11.8,19.4,,1.8,0.9,2.6,.157,,1.8,-0.5,1.3,0.7
62,Dillon Brooks\brookdi01,SF,23,MEM,11,208,9.3,.507,.288,.273,3.3,9.6,6.4,7.5,1.9,1.8,10.9,18.4,,-0.1,0.2,0.2,.042,,-3.5,-0.2,-3.8,-0.1
63,MarShon Brooks\brookma01,SG,30,MEM,27,381,12.7,.523,.317,.198,3.6,10.2,6.8,11.0,1.2,1.0,9.9,24.4,,-0.1,0.4,0.3,.032,,-2.3,-2.4,-4.7,-0.3
64,Bruce Brown\brownbr01,SG,22,DET,21,373,7.1,.471,.309,.259,3.2,11.4,7.1,7.4,1.5,2.3,11.7,11.4,,0.0,0.4,0.4,.052,,-3.7,2.0,-1.6,0.0
65,Jaylen Brown\brownja02,SG,22,BOS,24,656,10.0,.489,.359,.239,4.5,11.9,8.2,7.9,1.2,1.9,11.4,21.2,,-0.3,1.0,0.6,.047,,-3.1,0.2,-2.9,-0.1
66,Lorenzo Brown\brownlo01,PG,28,TOR,19,167,5.8,.396,.429,.036,2.0,11.7,7.1,16.1,2.0,2.4,19.8,18.3,,-0.4,0.2,-0.1,-0.039,,-5.6,1.3,-4.3,-0.1
67,Sterling Brown\brownst02,SG,23,MIL,20,270,11.8,.575,.475,.100,4.8,14.5,9.9,8.3,1.0,0.6,8.7,14.2,,0.3,0.3,0.7,.122,,-0.7,-0.4,-1.1,0.1
68,Troy Brown\browntr01,SF,19,WAS,13,91,12.3,.452,.182,.242,3.5,22.1,12.6,15.2,3.1,0.0,9.9,18.9,,0.0,0.1,0.1,.028,,-4.2,-0.3,-4.5,-0.1
69,Jalen Brunson\brunsja01,PG,22,DAL,26,414,11.2,.520,.316,.235,1.9,7.0,4.5,16.5,1.6,0.0,9.6,17.1,,0.3,0.3,0.6,.072,,-1.6,-1.9,-3.4,-0.2
70,Thomas Bryant\bryanth01,C,21,WAS,21,297,18.7,.650,.226,.310,7.9,22.9,15.3,8.3,1.1,4.3,11.2,15.4,,0.7,0.2,0.9,.148,,-0.3,0.6,0.3,0.2
71,Reggie Bullock\bullore01,SG,27,DET,20,574,10.9,.559,.603,.168,1.4,7.4,4.2,11.7,1.0,0.3,9.6,15.9,,0.6,0.4,1.1,.088,,0.4,-1.0,-0.6,0.2
72,Trey Burke\burketr01,PG,26,NYK,23,471,16.0,.493,.266,.212,2.8,8.7,5.6,23.9,1.6,0.4,8.3,25.6,,0.4,0.1,0.5,.050,,0.5,-3.3,-2.7,-0.1
73,Alec Burks\burksal01,SG,27,TOT,28,578,11.6,.494,.363,.291,2.0,14.7,8.2,12.1,1.3,1.0,10.4,22.5,,-0.1,0.4,0.3,.024,,-2.5,-1.6,-4.0,-0.3
73,Alec Burks\burksal01,SG,27,UTA,17,269,12.9,.547,.377,.333,0.8,10.4,5.6,11.9,1.1,1.2,10.3,23.5,,0.2,0.3,0.4,.073,,-1.8,-1.9,-3.7,-0.1
73,Alec Burks\burksal01,SG,27,CLE,11,309,10.4,.443,.350,.252,3.1,18.4,10.5,12.4,1.5,0.8,10.5,21.6,,-0.2,0.1,-0.1,-0.019,,-3.1,-1.3,-4.4,-0.2
